type,seconds,round,chunk_distance,name,t,c,z,y,x
TIFF,0.11779593000000001,17,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,5
TIFF,0.11714038,18,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,7
TIFF,0.11239078,19,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,6
TIFF,0.09766529,20,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,4
TIFF,0.1006982,21,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,2
TIFF,0.128709,22,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,7
TIFF,0.10834242000000001,23,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,4
TIFF,0.11124834,24,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,3
TIFF,0.10417053,25,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
TIFF,0.11822219,26,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,6
TIFF,0.08607478,27,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,1
TIFF,0.07875814,28,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,3
TIFF,0.06075164,29,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,2
TIFF,0.059186510000000005,30,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,6
TIFF,0.08259915,31,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,5
TIFF,0.06950215,32,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,7
TIFF,0.05005786,33,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,4
TIFF,0.14494747,34,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,6
TIFF,0.08390427,35,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,4
TIFF,0.12603509000000002,36,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
TIFF,0.080334,37,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,4,7
TIFF,0.12261641000000001,38,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,7
TIFF,0.058793780000000004,39,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,2
TIFF,0.05695107,40,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,1
TIFF,0.10917615,41,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,3
TIFF,0.06760223,42,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,2
TIFF,0.08736658,43,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
TIFF,0.09754319,44,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,6
TIFF,0.09605731,45,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,2
TIFF,0.10882129,46,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,5
TIFF,0.1050133,47,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,1
TIFF,0.08610463,48,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,6
TIFF,0.06027391,49,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,2
TIFF,0.08158207,50,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
TIFF,0.0660472,51,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,5
TIFF,0.05046279,52,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,6
TIFF,0.08284081,53,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,6
