type,seconds,round,name,t,c,z,y,x
TIFF,6.57679783,46,XY-1920-Z-259-C-4-T-1-XC-256,1,2,218,3,7
TIFF,3.59303909,47,XY-1920-Z-259-C-4-T-1-XC-256,1,1,243,5,6
TIFF,7.34132884,48,XY-1920-Z-259-C-4-T-1-XC-256,1,3,20,4,5
TIFF,2.41870852,49,XY-1920-Z-259-C-4-T-1-XC-256,1,4,119,7,7
TIFF,3.9148477,50,XY-1920-Z-259-C-4-T-1-XC-256,1,2,14,1,6
TIFF,9.22340022,51,XY-1920-Z-259-C-4-T-1-XC-256,1,3,132,4,7
TIFF,0.38582094,52,XY-1920-Z-259-C-4-T-1-XC-256,1,3,235,6,5
TIFF,9.09831536,53,XY-1920-Z-259-C-4-T-1-XC-256,1,3,138,7,4
TIFF,4.82227508,54,XY-1920-Z-259-C-4-T-1-XC-256,1,2,78,1,4
TIFF,8.93565093,55,XY-1920-Z-259-C-4-T-1-XC-256,1,3,114,7,7
TIFF,3.90112854,56,XY-1920-Z-259-C-4-T-1-XC-256,1,4,221,3,3
TIFF,5.91413437,57,XY-1920-Z-259-C-4-T-1-XC-256,1,2,172,1,3
TIFF,3.50278767,58,XY-1920-Z-259-C-4-T-1-XC-256,1,4,232,6,5
TIFF,3.4078572400000002,59,XY-1920-Z-259-C-4-T-1-XC-256,1,4,189,3,1
TIFF,6.8169943900000005,60,XY-1920-Z-259-C-4-T-1-XC-256,1,2,235,6,5
TIFF,0.20141791,61,XY-1920-Z-259-C-4-T-1-XC-256,1,3,224,4,4
TIFF,9.81296601,62,XY-1920-Z-259-C-4-T-1-XC-256,1,3,198,7,5
TIFF,2.66098405,63,XY-1920-Z-259-C-4-T-1-XC-256,1,1,189,5,5
TIFF,6.52683819,64,XY-1920-Z-259-C-4-T-1-XC-256,1,2,211,3,3
TIFF,5.28483574,65,XY-1920-Z-259-C-4-T-1-XC-256,1,2,115,6,6
TIFF,8.24145927,66,XY-1920-Z-259-C-4-T-1-XC-256,1,3,86,1,2
TIFF,6.49495173,67,XY-1920-Z-259-C-4-T-1-XC-256,1,2,226,1,4
TIFF,2.81719731,68,XY-1920-Z-259-C-4-T-1-XC-256,1,4,156,7,6
TIFF,2.1684036,69,XY-1920-Z-259-C-4-T-1-XC-256,1,4,120,4,6
TIFF,3.78552155,70,XY-1920-Z-259-C-4-T-1-XC-256,1,2,22,7,1
TIFF,7.87133278,71,XY-1920-Z-259-C-4-T-1-XC-256,1,3,82,3,6
TIFF,0.60214427,72,XY-1920-Z-259-C-4-T-1-XC-256,1,1,40,1,6
TIFF,4.29694124,73,XY-1920-Z-259-C-4-T-1-XC-256,1,2,62,3,3
TIFF,8.72139332,74,XY-1920-Z-259-C-4-T-1-XC-256,1,3,133,5,2
TIFF,3.055102,75,XY-1920-Z-259-C-4-T-1-XC-256,1,1,217,7,2
