type,seconds,round,name,t,c,z,y,x
TIFF,0.14881976,17,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
TIFF,0.10619205,18,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,5
TIFF,0.06491681,19,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,7
TIFF,0.08607618,20,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,4
TIFF,0.0953133,21,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,1
TIFF,0.09675246,22,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,7
TIFF,0.0674686,23,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,4
TIFF,0.08012261,24,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,3
TIFF,0.0564241,25,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,7
TIFF,0.10348615,26,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,5
TIFF,0.121418,27,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,4
TIFF,0.08359129,28,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,4
TIFF,0.07307032000000001,29,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,3
TIFF,0.11590792,30,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
TIFF,0.04669891,31,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,3
TIFF,0.09096548,32,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,1
TIFF,0.11000375,33,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,2
TIFF,0.05641089,34,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,4
TIFF,0.09043497,35,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,1
TIFF,0.05300532,36,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,5
TIFF,0.048859520000000004,37,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,7
TIFF,0.09392163,38,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,2
TIFF,0.06344208,39,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,5
TIFF,0.05079242,40,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,6
TIFF,0.10283407,41,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,6
TIFF,0.10950089,42,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,4
TIFF,0.09371187,43,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,7
TIFF,0.11980412,44,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
TIFF,0.08500885,45,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,7
TIFF,0.09336666,46,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,3
TIFF,0.08711796000000001,47,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,5
TIFF,0.0957659,48,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
TIFF,0.06435079,49,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,5
TIFF,0.07110199,50,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,4
TIFF,0.059030030000000004,51,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,7
TIFF,0.07936992,52,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
TIFF,0.1264472,53,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,3
TIFF,0.07493449,54,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,7,2
TIFF,0.06109389,55,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,2
TIFF,0.13258357,56,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,7
TIFF,0.13916201,57,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,6
TIFF,0.09498729,58,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,4
TIFF,0.08119152,59,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
TIFF,0.10818554,60,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,3
TIFF,0.05343982,61,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,4
TIFF,0.04567691,62,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,4,1
TIFF,0.04913532,63,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,1
TIFF,0.05902457,64,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,2
TIFF,0.05614108,65,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
TIFF,0.12314074,66,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,2
TIFF,0.07764113,67,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,1
TIFF,0.06451338,68,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,1
TIFF,0.07900133000000001,69,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,2
TIFF,0.07880914,70,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,1
TIFF,0.10818021,71,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,5,6
TIFF,0.08026309,72,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,1
TIFF,0.10208802,73,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,5,2
TIFF,0.08473119,74,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,3
TIFF,0.09192661,75,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,6
TIFF,0.09678425,76,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,4
TIFF,0.06452636,77,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,1
TIFF,0.10748062,78,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
TIFF,0.07576718,79,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,4
TIFF,0.09474105000000001,80,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,4
TIFF,0.06652233,81,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,4
TIFF,0.06427444,82,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,5
TIFF,0.11048839,83,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,7
TIFF,0.06394302,84,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,7
TIFF,0.09290378,85,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,7
TIFF,0.07864018,86,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,2
TIFF,0.07460279,87,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,5
TIFF,0.10852499,88,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,6
TIFF,0.16485855,89,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,5
TIFF,0.10777708,90,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,7
TIFF,0.104328,91,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,7
TIFF,0.04536201,92,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,2
TIFF,0.06290982,93,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,5
TIFF,0.1133101,94,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,6
TIFF,0.07842785000000001,95,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,3
